,country,countrycode,date,new_per_day,new_per_day_smooth,dead_per_day,dead_per_day_smooth
25388,Costa Rica,CRI,2020-10-01,890.0,1176.142857142857,19.0,17.642857142857142
25389,Costa Rica,CRI,2020-10-02,1156.0,1160.2857142857142,24.0,18.214285714285715
25390,Costa Rica,CRI,2020-10-03,1068.0,1143.5714285714287,13.0,17.928571428571427
25391,Costa Rica,CRI,2020-10-04,1001.0,1103.9285714285713,13.0,17.428571428571427
25392,Costa Rica,CRI,2020-10-05,1353.0,1105.0,20.0,17.428571428571427
25393,Costa Rica,CRI,2020-10-06,1225.0,1107.7142857142858,21.0,17.428571428571427
25394,Costa Rica,CRI,2020-10-07,722.0,1109.0714285714287,16.0,17.285714285714285
25395,Costa Rica,CRI,2020-10-08,1013.0,1103.7857142857142,17.0,17.428571428571427
25396,Costa Rica,CRI,2020-10-09,1355.0,1102.7142857142858,20.0,17.357142857142858
25397,Costa Rica,CRI,2020-10-10,1331.0,1097.7857142857142,16.0,17.5
25398,Costa Rica,CRI,2020-10-11,1225.0,1088.357142857143,15.0,17.357142857142858
25399,Costa Rica,CRI,2020-10-12,1386.0,1099.2857142857142,21.0,17.714285714285715
25400,Costa Rica,CRI,2020-10-13,1051.0,1107.5714285714287,14.0,17.357142857142858
25401,Costa Rica,CRI,2020-10-14,733.0,1107.7857142857142,18.0,17.642857142857142
25402,Costa Rica,CRI,2020-10-15,1015.0,1116.7142857142858,16.0,17.428571428571427
25403,Costa Rica,CRI,2020-10-16,1542.0,1144.2857142857142,10.0,16.428571428571427
25404,Costa Rica,CRI,2020-10-17,1372.0,1166.0,25.0,17.285714285714285
25405,Costa Rica,CRI,2020-10-18,1196.0,1179.9285714285713,9.0,17.0
25406,Costa Rica,CRI,2020-10-19,1166.0,1166.5714285714287,15.0,16.642857142857142
25407,Costa Rica,CRI,2020-10-20,929.0,1145.4285714285713,11.0,15.928571428571427
25408,Costa Rica,CRI,2020-10-21,632.0,1139.0,10.0,15.5
25409,Costa Rica,CRI,2020-10-22,847.0,1127.142857142857,18.0,15.571428571428573
25410,Costa Rica,CRI,2020-10-23,1503.0,1137.7142857142858,14.0,15.142857142857142
25411,Costa Rica,CRI,2020-10-24,1191.0,1127.7142857142858,15.0,15.071428571428573
25412,Costa Rica,CRI,2020-10-25,1210.0,1126.642857142857,14.0,15.0
25413,Costa Rica,CRI,2020-10-26,1262.0,1117.7857142857142,17.0,14.714285714285715
25414,Costa Rica,CRI,2020-10-27,861.0,1104.2142857142858,16.0,14.857142857142858
25415,Costa Rica,CRI,2020-10-28,511.0,1088.357142857143,14.0,14.571428571428573
25416,Costa Rica,CRI,2020-10-29,862.0,1077.4285714285713,17.0,14.642857142857142
25417,Costa Rica,CRI,2020-10-30,1231.0,1055.2142857142858,11.0,14.714285714285715
25418,Costa Rica,CRI,2020-10-31,1017.0,1029.857142857143,17.0,14.142857142857142
25419,Costa Rica,CRI,2020-11-01,1296.0,1037.0,14.0,14.5
25420,Costa Rica,CRI,2020-11-02,1105.0,1032.642857142857,14.0,14.428571428571427
25421,Costa Rica,CRI,2020-11-03,746.0,1019.5714285714287,11.0,14.428571428571427
25422,Costa Rica,CRI,2020-11-04,540.0,1013.0,8.0,14.285714285714285
25423,Costa Rica,CRI,2020-11-05,863.0,1014.1428571428572,15.0,14.071428571428573
25424,Costa Rica,CRI,2020-11-06,1141.0,988.2857142857144,12.0,13.928571428571427
25425,Costa Rica,CRI,2020-11-07,1106.0,982.2142857142856,13.0,13.785714285714285
25426,Costa Rica,CRI,2020-11-08,1050.0,970.7857142857144,9.0,13.428571428571427
25427,Costa Rica,CRI,2020-11-09,946.0,948.2142857142856,11.0,13.0
25428,Costa Rica,CRI,2020-11-10,736.0,939.2857142857144,12.0,12.714285714285715
25429,Costa Rica,CRI,2020-11-11,488.0,937.6428571428572,15.0,12.785714285714285
25430,Costa Rica,CRI,2020-11-12,979.0,946.0,11.0,12.357142857142858
25431,Costa Rica,CRI,2020-11-13,1202.0,943.9285714285713,11.0,12.357142857142858
25432,Costa Rica,CRI,2020-11-14,1171.0,954.9285714285713,14.0,12.142857142857142
25433,Costa Rica,CRI,2020-11-15,1184.0,946.9285714285713,10.0,11.857142857142858
25434,Costa Rica,CRI,2020-11-16,1100.0,946.5714285714287,9.0,11.5
25435,Costa Rica,CRI,2020-11-17,726.0,945.1428571428572,9.0,11.357142857142858
25436,Costa Rica,CRI,2020-11-18,643.0,952.5,11.0,11.571428571428573
